datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
20160901-11:30,Mostly Cloudy,26,0,0,39.2,75,,1000,0,0,31,0,0,3,110,ESE,,,3.7
20160901-12:00,Mist,27,0,0,,74,,999,0,0,31,0,0,2,,,,,0
20160901-12:30,Mostly Cloudy,27,0,0,40.5,79,,1000,0,0,31,0,0,3,0,North,,,0
20160901-13:00,Mostly Cloudy,26,0,0,37.4,79,,1000,0,0,30,0,0,3,0,North,,,0
20160901-15:00,Mist,27,0,0,,85,,1001,0,0,29,0,0,2,140,SE,,,3.7
20160901-18:00,Mist,26,0,0,,89,,1002,0,0,28,0,0,2,,,,,0
20160901-21:00,Mist,25,0,0,,91,,1000,0,0,27,0,0,2,230,SW,,,5.6
20160902-00:00,Mist,26,0,0,,91,,1001,0,0,26,0,0,2,270,West,,,9.3
20160902-02:00,Mostly Cloudy,26,0,0,31.2,94,,1002,0,0,27,0,0,1.5,280,West,,,13
20160902-02:30,Mostly Cloudy,26,0,0,33.6,89,,1003,0,0,28,0,0,2,290,WNW,,,14.8
20160902-03:00,Mist,25,0,0,,83,,1002,0,0,28,0,0,2,290,WNW,,,7.4
20160902-03:30,Scattered Clouds,25,0,0,32.7,84,,1003,0,0,28,0,0,3,280,West,,,14.8
20160902-04:00,Mostly Cloudy,26,0,0,35.6,84,,1003,0,0,29,0,0,3,280,West,,,11.1
20160902-04:30,Mostly Cloudy,26,0,0,37.4,79,,1003,0,0,30,0,0,3,280,West,,,11.1
20160902-05:00,Mostly Cloudy,26,0,0,39.2,75,,1003,0,0,31,0,0,3,320,NW,,,11.1
20160902-05:30,Haze,25,0,0,37.6,70,,1003,0,0,31,0,0,3.5,290,WNW,,,18.5
20160902-06:00,Haze,26,0,0,,60,,1001,0,0,32,0,0,2,270,West,,,22.2
20160902-06:30,Haze,25,0,0,40.6,63,,1003,0,0,33,0,0,3.5,310,NW,,,14.8
20160902-07:00,Haze,26,0,0,41.8,66,,1002,0,0,33,0,0,3,290,WNW,,,14.8
20160902-07:30,Haze,26,0,0,41.8,66,,1002,0,0,33,0,0,3,300,WNW,,,16.7
20160902-09:00,Haze,25,0,0,,54,,1000,0,0,33,0,0,2,290,WNW,,,18.5
20160902-09:30,Haze,25,0,0,41.8,59,,1001,0,0,34,0,0,3.5,310,NW,,,18.5
20160902-10:30,Haze,25,0,0,41.8,59,,1000,0,0,34,0,0,3.5,280,West,,,18.5
20160902-11:30,Haze,25,0,0,40.6,63,,1001,0,0,33,0,0,3.5,290,WNW,,,11.1
20160902-12:00,Haze,25,0,0,,56,,998,0,0,33,0,0,2,290,WNW,,,13
20160902-12:30,Haze,25,0,0,40.6,63,,999,0,0,33,0,0,3.5,290,WNW,,,9.3
20160902-13:00,Haze,25,0,0,39,66,,999,0,0,32,0,0,3.5,290,WNW,,,9.3
20160902-15:00,Haze,25,0,0,,68,,999,0,0,30,0,0,2,290,WNW,,,7.4
20160902-18:00,Mist,25,0,0,,79,,,0,0,28,0,0,2,270,West,,,7.4
20160902-21:00,Mist,25,0,0,,79,,1000,0,0,28,0,0,2,270,West,,,11.1
20160903-00:00,Mist,23,0,0,,80,,1000,0,0,26,0,0,2,270,West,,,7.4
20160903-02:00,Partly Cloudy,23,0,0,,83,,1002,0,0,26,0,0,3,250,WSW,,,11.1
20160903-03:00,Haze,22,0,0,,65,,1002,0,0,28,0,0,2,270,West,,,18.5
20160903-03:30,Haze,23,0,0,31.2,74,,1003,0,0,28,0,0,3,270,West,,,13
20160903-04:00,Haze,23,0,0,31.2,74,,1003,0,0,28,0,0,3.5,270,West,,,16.7
20160903-04:30,Haze,23,0,0,34.1,66,,1003,0,0,30,0,0,3.5,270,West,,,20.4
20160903-06:00,Haze,25,0,0,,61,,1002,0,0,32,0,0,2,270,West,,,16.7
20160903-06:30,Haze,23,0,0,36.8,59,,1002,0,0,32,0,0,4,310,NW,,,11.1
20160903-07:00,Haze,23,0,0,37.8,55,,1002,0,0,33,0,0,4,320,NW,,,13
20160903-07:30,Haze,23,0,0,39.1,52,,1002,0,0,34,0,0,4,300,WNW,,,22.2
20160903-08:00,Haze,23,0,0,39.1,52,,1001,0,0,34,0,0,4.5,300,WNW,,,11.1
20160903-08:30,Haze,24,0,0,40.6,56,,1001,0,0,34,0,0,4.5,280,West,,,18.5
20160903-09:00,Haze,22,0,0,,42,,999,0,0,34,0,0,4,270,West,,,20.4
20160903-09:30,Haze,22,0,0,38.1,49,,1000,0,0,34,0,0,4,310,NW,,,18.5
